,E,flux
177,3.106511e-01,1.542045e+19
178,3.118412e-01,1.544342e+19
179,3.130313e-01,1.546638e+19
180,3.142214e-01,1.548935e+19
181,3.154115e-01,1.551232e+19
182,3.166017e-01,1.553529e+19
183,3.177918e-01,1.555826e+19
184,3.189819e-01,1.558120e+19
185,3.201720e-01,1.560410e+19
186,3.213621e-01,1.562701e+19
187,3.225523e-01,1.564994e+19
188,3.237424e-01,1.567292e+19
189,3.249325e-01,1.569591e+19
190,3.261226e-01,1.571889e+19
191,3.273127e-01,1.574167e+19
192,3.285029e-01,1.576439e+19
193,3.296930e-01,1.578711e+19
194,3.308831e-01,1.580980e+19
195,3.320732e-01,1.583245e+19
196,3.332633e-01,1.585510e+19
197,3.344534e-01,1.587747e+19
198,3.356436e-01,1.589939e+19
199,3.368337e-01,1.592132e+19
200,3.380238e-01,1.594324e+19
201,3.392139e-01,1.596348e+19
202,3.404040e-01,1.598362e+19
203,3.415942e-01,1.600375e+19
204,3.427843e-01,1.602414e+19
205,3.439744e-01,1.604463e+19
206,3.451645e-01,1.606511e+19
207,3.463546e-01,1.608555e+19
208,3.475448e-01,1.610582e+19
209,3.487349e-01,1.612608e+19
210,3.499250e-01,1.614634e+19
211,3.511151e-01,1.616574e+19
212,3.523052e-01,1.618493e+19
213,3.534954e-01,1.620412e+19
214,3.546855e-01,1.622375e+19
215,3.558756e-01,1.624367e+19
216,3.570657e-01,1.626359e+19
217,3.582558e-01,1.628353e+19
218,3.594459e-01,1.630375e+19
219,3.606361e-01,1.632466e+19
220,3.618262e-01,1.634650e+19
221,3.630163e-01,1.637138e+19
222,3.642064e-01,1.639926e+19
223,3.653965e-01,1.643153e+19
224,3.665867e-01,1.647248e+19
225,3.677768e-01,1.650218e+19
226,3.689669e-01,1.650954e+19
227,3.701570e-01,1.652404e+19
228,3.713471e-01,1.654041e+19
229,3.725373e-01,1.655753e+19
230,3.737274e-01,1.657492e+19
231,3.749175e-01,1.659267e+19
232,3.761076e-01,1.661042e+19
233,3.772977e-01,1.662817e+19
234,3.784879e-01,1.664536e+19
235,3.796780e-01,1.666216e+19
236,3.808681e-01,1.667897e+19
237,3.820582e-01,1.669520e+19
238,3.832483e-01,1.671036e+19
239,3.844384e-01,1.672552e+19
240,3.856286e-01,1.674097e+19
241,3.868187e-01,1.675793e+19
242,3.880088e-01,1.677488e+19
243,3.891989e-01,1.679184e+19
244,3.903890e-01,1.680838e+19
245,3.915792e-01,1.682474e+19
246,3.927693e-01,1.684110e+19
247,3.939594e-01,1.685730e+19
248,3.951495e-01,1.687331e+19
249,3.963396e-01,1.688932e+19
250,3.975298e-01,1.690534e+19
251,3.987199e-01,1.692099e+19
252,3.999100e-01,1.693664e+19
253,4.011001e-01,1.695229e+19
254,4.022902e-01,1.696762e+19
255,4.034804e-01,1.698271e+19
256,4.046705e-01,1.699779e+19
257,4.058606e-01,1.701248e+19
258,4.070507e-01,1.702642e+19
259,4.082408e-01,1.704035e+19
260,4.094309e-01,1.705429e+19
261,4.106211e-01,1.706874e+19
262,4.118112e-01,1.708325e+19
263,4.130013e-01,1.709776e+19
264,4.141914e-01,1.711208e+19
265,4.153815e-01,1.712629e+19
266,4.165717e-01,1.714050e+19
267,4.177618e-01,1.715462e+19
268,4.189519e-01,1.716865e+19
269,4.201420e-01,1.718268e+19
270,4.213321e-01,1.719670e+19
271,4.225223e-01,1.721055e+19
272,4.237124e-01,1.722439e+19
273,4.249025e-01,1.723823e+19
274,4.260926e-01,1.725203e+19
275,4.272827e-01,1.726583e+19
276,4.284729e-01,1.727962e+19
277,4.296630e-01,1.729309e+19
278,4.308531e-01,1.730585e+19
279,4.320432e-01,1.731860e+19
280,4.332333e-01,1.733136e+19
281,4.344234e-01,1.734403e+19
282,4.356136e-01,1.735670e+19
283,4.368037e-01,1.736936e+19
284,4.379938e-01,1.738183e+19
285,4.391839e-01,1.739421e+19
286,4.403740e-01,1.740658e+19
287,4.415642e-01,1.741891e+19
288,4.427543e-01,1.743108e+19
289,4.439444e-01,1.744324e+19
290,4.451345e-01,1.745541e+19
291,4.463246e-01,1.746724e+19
292,4.475148e-01,1.747907e+19
293,4.487049e-01,1.749090e+19
294,4.498950e-01,1.750270e+19
295,4.510851e-01,1.751451e+19
296,4.522752e-01,1.752631e+19
297,4.534654e-01,1.753822e+19
298,4.546555e-01,1.755030e+19
299,4.558456e-01,1.756238e+19
300,4.570357e-01,1.757438e+19
301,4.582258e-01,1.758605e+19
302,4.594159e-01,1.759772e+19
303,4.606061e-01,1.760938e+19
304,4.617962e-01,1.762067e+19
305,4.629863e-01,1.763179e+19
306,4.641764e-01,1.764292e+19
307,4.653665e-01,1.765406e+19
308,4.665567e-01,1.766522e+19
309,4.677468e-01,1.767639e+19
310,4.689369e-01,1.768741e+19
311,4.701270e-01,1.769806e+19
312,4.713171e-01,1.770872e+19
313,4.725073e-01,1.771938e+19
314,4.736974e-01,1.773055e+19
315,4.748875e-01,1.774183e+19
316,4.760776e-01,1.775311e+19
317,4.772677e-01,1.776366e+19
318,4.784578e-01,1.777372e+19
319,4.796480e-01,1.778379e+19
320,4.808381e-01,1.779382e+19
321,4.820282e-01,1.780383e+19
322,4.832183e-01,1.781440e+19
323,4.844084e-01,1.782544e+19
324,4.855986e-01,1.783687e+19
325,4.867887e-01,1.784896e+19
326,4.879788e-01,1.786314e+19
327,4.891689e-01,1.787850e+19
328,4.903590e-01,1.789411e+19
329,4.915492e-01,1.791084e+19
330,4.927393e-01,1.792918e+19
331,4.939294e-01,1.794935e+19
332,4.951195e-01,1.797067e+19
333,4.963096e-01,1.799478e+19
334,4.974998e-01,1.802247e+19
335,4.986899e-01,1.805953e+19
336,4.998800e-01,1.811715e+19
337,5.010701e-01,1.810490e+19
338,5.022602e-01,1.810330e+19
339,5.034503e-01,1.810847e+19
340,5.046405e-01,1.811581e+19
341,5.058306e-01,1.812445e+19
342,5.070207e-01,1.813356e+19
343,5.082108e-01,1.814283e+19
344,5.094009e-01,1.815180e+19
345,5.105911e-01,1.816076e+19
346,5.117812e-01,1.816971e+19
347,5.129713e-01,1.817825e+19
348,5.141614e-01,1.818632e+19
349,5.153515e-01,1.819438e+19
350,5.165417e-01,1.820248e+19
351,5.177318e-01,1.821135e+19
352,5.189219e-01,1.822023e+19
353,5.201120e-01,1.822910e+19
354,5.213021e-01,1.823731e+19
355,5.224923e-01,1.824541e+19
356,5.236824e-01,1.825351e+19
357,5.248725e-01,1.826161e+19
358,5.260626e-01,1.826970e+19
359,5.272527e-01,1.827780e+19
360,5.284428e-01,1.828594e+19
361,5.296330e-01,1.829436e+19
362,5.308231e-01,1.830279e+19
363,5.320132e-01,1.831121e+19
364,5.332033e-01,1.831950e+19
365,5.343934e-01,1.832773e+19
366,5.355836e-01,1.833596e+19
367,5.367737e-01,1.834417e+19
368,5.379638e-01,1.835231e+19
369,5.391539e-01,1.836045e+19
370,5.403440e-01,1.836861e+19
371,5.415342e-01,1.837598e+19
372,5.427243e-01,1.838334e+19
373,5.439144e-01,1.839239e+19
374,5.451045e-01,1.840144e+19
375,5.462946e-01,1.841185e+19
376,5.474848e-01,1.842418e+19
377,5.486749e-01,1.843573e+19
378,5.498650e-01,1.844606e+19
379,5.510551e-01,1.845559e+19
380,5.522452e-01,1.846349e+19
381,5.534353e-01,1.847078e+19
382,5.546255e-01,1.847667e+19
383,5.558156e-01,1.848213e+19
384,5.570057e-01,1.848785e+19
385,5.581958e-01,1.849469e+19
386,5.593859e-01,1.850301e+19
387,5.605761e-01,1.851182e+19
388,5.617662e-01,1.852015e+19
389,5.629563e-01,1.852848e+19
390,5.641464e-01,1.853682e+19
391,5.653365e-01,1.854411e+19
392,5.665267e-01,1.855167e+19
393,5.677168e-01,1.856026e+19
394,5.689069e-01,1.857021e+19
395,5.700970e-01,1.858338e+19
396,5.712871e-01,1.859855e+19
397,5.724773e-01,1.862069e+19
398,5.736674e-01,1.862905e+19
399,5.748575e-01,1.861515e+19
400,5.760476e-01,1.860855e+19
401,5.772377e-01,1.860559e+19
402,5.784278e-01,1.860513e+19
403,5.796180e-01,1.860473e+19
404,5.808081e-01,1.860608e+19
405,5.819982e-01,1.860835e+19
406,5.831883e-01,1.861057e+19
407,5.843784e-01,1.861274e+19
408,5.855686e-01,1.861546e+19
409,5.867587e-01,1.861832e+19
410,5.879488e-01,1.862120e+19
411,5.891389e-01,1.862441e+19
412,5.903290e-01,1.862763e+19
413,5.915192e-01,1.863085e+19
414,5.927093e-01,1.863391e+19
415,5.938994e-01,1.863694e+19
416,5.950895e-01,1.863997e+19
417,5.962796e-01,1.864276e+19
418,5.974698e-01,1.864508e+19
419,5.986599e-01,1.864783e+19
420,5.998500e-01,1.865098e+19
421,6.010401e-01,1.865434e+19
422,6.022302e-01,1.865739e+19
423,6.034203e-01,1.866080e+19
424,6.046105e-01,1.866466e+19
425,6.058006e-01,1.866920e+19
426,6.069907e-01,1.867061e+19
427,6.081808e-01,1.867122e+19
428,6.093709e-01,1.867390e+19
429,6.105611e-01,1.867647e+19
430,6.117512e-01,1.867872e+19
431,6.129413e-01,1.868187e+19
432,6.141314e-01,1.868509e+19
433,6.153215e-01,1.868834e+19
434,6.165117e-01,1.869150e+19
435,6.177018e-01,1.869464e+19
436,6.188919e-01,1.869777e+19
437,6.200820e-01,1.870090e+19
438,6.212721e-01,1.870402e+19
439,6.224622e-01,1.870714e+19
440,6.236524e-01,1.871035e+19
441,6.248425e-01,1.871400e+19
442,6.260326e-01,1.871722e+19
443,6.272227e-01,1.871973e+19
444,6.284128e-01,1.872416e+19
445,6.296030e-01,1.873062e+19
446,6.307931e-01,1.874058e+19
447,6.319832e-01,1.875981e+19
448,6.331733e-01,1.878810e+19
449,6.343634e-01,1.880926e+19
450,6.355536e-01,1.882178e+19
451,6.367437e-01,1.883225e+19
452,6.379338e-01,1.884438e+19
453,6.391239e-01,1.885865e+19
454,6.403140e-01,1.886369e+19
455,6.415042e-01,1.887053e+19
456,6.426943e-01,1.887686e+19
457,6.438844e-01,1.888829e+19
458,6.450745e-01,1.890949e+19
459,6.462646e-01,1.894720e+19
460,6.474547e-01,1.899892e+19
461,6.486449e-01,1.908205e+19
462,6.498350e-01,1.927172e+19
463,6.510251e-01,1.963427e+19
464,6.522152e-01,2.045603e+19
465,6.534053e-01,2.132159e+19
466,6.545955e-01,2.018930e+19
467,6.557856e-01,1.988399e+19
468,6.569757e-01,1.976539e+19
469,6.581658e-01,1.971288e+19
470,6.593559e-01,1.968689e+19
471,6.605461e-01,1.967190e+19
472,6.617362e-01,1.966626e+19
473,6.629263e-01,1.966672e+19
474,6.641164e-01,1.967278e+19
475,6.653065e-01,1.967343e+19
476,6.664967e-01,1.967282e+19
477,6.676868e-01,1.966774e+19
478,6.688769e-01,1.965699e+19
479,6.700670e-01,1.965112e+19
480,6.712571e-01,1.964513e+19
481,6.724472e-01,1.963192e+19
482,6.736374e-01,1.960632e+19
483,6.748275e-01,1.958386e+19
484,6.760176e-01,1.957476e+19
485,6.772077e-01,1.957165e+19
486,6.783978e-01,1.957119e+19
487,6.795880e-01,1.957228e+19
488,6.807781e-01,1.957442e+19
489,6.819682e-01,1.957624e+19
490,6.831583e-01,1.957800e+19
491,6.843484e-01,1.957893e+19
492,6.855386e-01,1.958035e+19
493,6.867287e-01,1.958240e+19
494,6.879188e-01,1.958462e+19
495,6.891089e-01,1.958664e+19
496,6.902990e-01,1.958898e+19
497,6.914892e-01,1.959133e+19
498,6.926793e-01,1.959371e+19
499,6.938694e-01,1.959608e+19
500,6.950595e-01,1.959845e+19
501,6.962496e-01,1.960083e+19
502,6.974397e-01,1.960321e+19
503,6.986299e-01,1.960559e+19
504,6.998200e-01,1.960753e+19
505,7.010101e-01,1.960982e+19
506,7.022002e-01,1.961257e+19
507,7.033903e-01,1.961479e+19
508,7.045805e-01,1.961617e+19
509,7.057706e-01,1.961774e+19
510,7.069607e-01,1.961956e+19
511,7.081508e-01,1.962159e+19
512,7.093409e-01,1.962345e+19
513,7.105311e-01,1.962541e+19
514,7.117212e-01,1.962728e+19
515,7.129113e-01,1.962906e+19
516,7.141014e-01,1.963084e+19
517,7.152915e-01,1.963257e+19
518,7.164817e-01,1.963399e+19
519,7.176718e-01,1.963582e+19
520,7.188619e-01,1.963796e+19
521,7.200520e-01,1.964023e+19
522,7.212421e-01,1.964263e+19
523,7.224322e-01,1.964260e+19
524,7.236224e-01,1.964244e+19
525,7.248125e-01,1.964154e+19
526,7.260026e-01,1.964089e+19
527,7.271927e-01,1.964020e+19
528,7.283828e-01,1.963933e+19
529,7.295730e-01,1.964083e+19
530,7.307631e-01,1.964732e+19
531,7.319532e-01,1.967648e+19
532,7.331433e-01,1.975042e+19
533,7.343334e-01,1.979809e+19
534,7.355236e-01,1.981118e+19
535,7.367137e-01,1.981722e+19
536,7.379038e-01,1.982026e+19
537,7.390939e-01,1.982204e+19
538,7.402840e-01,1.982361e+19
539,7.414742e-01,1.982553e+19
540,7.426643e-01,1.982685e+19
541,7.438544e-01,1.982736e+19
542,7.450445e-01,1.982793e+19
543,7.462346e-01,1.982853e+19
544,7.474247e-01,1.982913e+19
545,7.486149e-01,1.983067e+19
546,7.498050e-01,1.983204e+19
547,7.509951e-01,1.983385e+19
548,7.521852e-01,1.983427e+19
549,7.533753e-01,1.983449e+19
550,7.545655e-01,1.983492e+19
551,7.557556e-01,1.983546e+19
552,7.569457e-01,1.983602e+19
553,7.581358e-01,1.983695e+19
554,7.593259e-01,1.983794e+19
555,7.605161e-01,1.983896e+19
556,7.617062e-01,1.984000e+19
557,7.628963e-01,1.984096e+19
558,7.640864e-01,1.984198e+19
559,7.652765e-01,1.984355e+19
560,7.664667e-01,1.984512e+19
561,7.676568e-01,1.984607e+19
562,7.688469e-01,1.984673e+19
563,7.700370e-01,1.984689e+19
564,7.712271e-01,1.984683e+19
565,7.724172e-01,1.984661e+19
566,7.736074e-01,1.984618e+19
567,7.747975e-01,1.984631e+19
568,7.759876e-01,1.984697e+19
569,7.771777e-01,1.984797e+19
570,7.783678e-01,1.984886e+19
571,7.795580e-01,1.984909e+19
572,7.807481e-01,1.984846e+19
573,7.819382e-01,1.984751e+19
574,7.831283e-01,1.984679e+19
575,7.843184e-01,1.984625e+19
576,7.855086e-01,1.984571e+19
577,7.866987e-01,1.984515e+19
578,7.878888e-01,1.984462e+19
579,7.890789e-01,1.984387e+19
580,7.902690e-01,1.984336e+19
581,7.914591e-01,1.984337e+19
582,7.926493e-01,1.984258e+19
583,7.938394e-01,1.984257e+19
584,7.950295e-01,1.984238e+19
585,7.962196e-01,1.984201e+19
586,7.974097e-01,1.984157e+19
587,7.985999e-01,1.984123e+19
588,7.997900e-01,1.984105e+19
589,8.009801e-01,1.984070e+19
590,8.021702e-01,1.984043e+19
591,8.033603e-01,1.984031e+19
592,8.045505e-01,1.984024e+19
593,8.057406e-01,1.984022e+19
594,8.069307e-01,1.984079e+19
595,8.081208e-01,1.984012e+19
596,8.093109e-01,1.983966e+19
597,8.105011e-01,1.983923e+19
598,8.116912e-01,1.983902e+19
599,8.128813e-01,1.983877e+19
600,8.140714e-01,1.983849e+19
601,8.152615e-01,1.983831e+19
602,8.164516e-01,1.983812e+19
603,8.176418e-01,1.983808e+19
604,8.188319e-01,1.983821e+19
605,8.200220e-01,1.983844e+19
606,8.212121e-01,1.983876e+19
607,8.224022e-01,1.983844e+19
608,8.235924e-01,1.983787e+19
609,8.247825e-01,1.983760e+19
610,8.259726e-01,1.983723e+19
611,8.271627e-01,1.983717e+19
612,8.283528e-01,1.983738e+19
613,8.295430e-01,1.983757e+19
614,8.307331e-01,1.983771e+19
615,8.319232e-01,1.983742e+19
616,8.331133e-01,1.983717e+19
617,8.343034e-01,1.983689e+19
618,8.354936e-01,1.983672e+19
619,8.366837e-01,1.983682e+19
620,8.378738e-01,1.983695e+19
621,8.390639e-01,1.983727e+19
622,8.402540e-01,1.983802e+19
623,8.414441e-01,1.983826e+19
624,8.426343e-01,1.983830e+19
625,8.438244e-01,1.983855e+19
626,8.450145e-01,1.983871e+19
627,8.462046e-01,1.983957e+19
628,8.473947e-01,1.984083e+19
629,8.485849e-01,1.984189e+19
630,8.497750e-01,1.984293e+19
631,8.509651e-01,1.984406e+19
632,8.521552e-01,1.984530e+19
633,8.533453e-01,1.984616e+19
634,8.545355e-01,1.984534e+19
635,8.557256e-01,1.984563e+19
636,8.569157e-01,1.984638e+19
637,8.581058e-01,1.984768e+19
638,8.592959e-01,1.984921e+19
639,8.604861e-01,1.985115e+19
640,8.616762e-01,1.985297e+19
641,8.628663e-01,1.985496e+19
642,8.640564e-01,1.985832e+19
643,8.652465e-01,1.986279e+19
644,8.664366e-01,1.986709e+19
645,8.676268e-01,1.987137e+19
646,8.688169e-01,1.987455e+19
647,8.700070e-01,1.987601e+19
648,8.711971e-01,1.987732e+19
649,8.723872e-01,1.987804e+19
650,8.735774e-01,1.987846e+19
651,8.747675e-01,1.987906e+19
652,8.759576e-01,1.987996e+19
653,8.771477e-01,1.988094e+19
654,8.783378e-01,1.988225e+19
655,8.795280e-01,1.988422e+19
656,8.807181e-01,1.988619e+19
657,8.819082e-01,1.988935e+19
658,8.830983e-01,1.989205e+19
659,8.842884e-01,1.989555e+19
660,8.854786e-01,1.989944e+19
661,8.866687e-01,1.990307e+19
662,8.878588e-01,1.990747e+19
663,8.890489e-01,1.991184e+19
664,8.902390e-01,1.991614e+19
665,8.914291e-01,1.992035e+19
