,kev,events_per_day
265,3.97898,0.0002
266,3.99399,0.0002
267,4.00901,0.0002
268,4.02402,0.0002
269,4.03904,0.0002
270,4.05405,0.0002
271,4.06907,0.0002
272,4.08408,0.0002
273,4.0991,0.0002
274,4.11411,0.0002
275,4.12913,0.0002
276,4.14414,0.0002
277,4.15916,0.0002
278,4.17417,0.0002
279,4.18919,0.0002
280,4.2042,0.0002
281,4.21922,0.0002
282,4.23423,0.0002
283,4.24925,0.0002
284,4.26426,0.0002
285,4.27928,0.0002
286,4.29429,0.0002
287,4.30931,0.0002
288,4.32432,0.0002
289,4.33934,0.0002
290,4.35435,0.0002
291,4.36937,0.0002
292,4.38438,0.0002
293,4.3994,0.0002
294,4.41441,0.0002
295,4.42943,0.0002
296,4.44444,0.0002
297,4.45946,0.0002
298,4.47447,0.0002
299,4.48949,0.0002
300,4.5045,0.0002
301,4.51952,0.0002
302,4.53453,0.0002
303,4.54955,0.0002
304,4.56456,0.0002
305,4.57958,0.0002
306,4.59459,0.0002
307,4.60961,0.0002
308,4.62462,0.0002
309,4.63964,0.0002
310,4.65465,0.0002
311,4.66967,0.0002
312,4.68468,0.0002
313,4.6997,0.0002
314,4.71471,0.0002
315,4.72973,0.0002
316,4.74474,0.0002
317,4.75976,0.0002
318,4.77477,0.0002
319,4.78979,0.0002
320,4.8048,0.0002
321,4.81982,0.0002
322,4.83483,0.0002
323,4.84985,0.0002
324,4.86486,0.0002
325,4.87988,0.0002
326,4.89489,0.0002
327,4.90991,0.0002
328,4.92492,0.0002
329,4.93994,0.0002
330,4.95495,0.0002
331,4.96997,0.0002
332,4.98498,0.0002
333,5,0.0002
334,5.01502,0.0002
335,5.03003,0.0002
336,5.04505,0.0002
337,5.06006,0.0002
338,5.07508,0.0002
339,5.09009,0.0002
340,5.10511,0.0002
341,5.12012,0.0002
342,5.13514,0.0002
343,5.15015,0.0002
344,5.16517,0.0002
345,5.18018,0.0002
346,5.1952,0.0002
347,5.21021,0.0002
348,5.22523,0.0002
349,5.24024,0.0002
350,5.25526,0.0002
351,5.27027,0.0002
352,5.28529,0.0002
353,5.3003,0.0002
354,5.31532,0.0002
355,5.33033,0.0002
356,5.34535,0.0002
357,5.36036,0.0002
358,5.37538,0.0002
359,5.39039,0.0002
360,5.40541,0.0002
361,5.42042,0.0002
362,5.43544,0.0002
363,5.45045,0.0002
364,5.46547,0.0002
365,5.48048,0.0002
366,5.4955,0.0002
367,5.51051,0.0002
368,5.52553,0.0002
369,5.54054,0.0002
370,5.55556,0.0002
371,5.57057,0.0002
372,5.58559,0.0002
373,5.6006,0.0002
374,5.61562,0.0002
375,5.63063,0.0002
376,5.64565,0.0002
377,5.66066,0.0002
378,5.67568,0.0002
379,5.69069,0.0002
380,5.70571,0.0002
381,5.72072,0.0002
382,5.73574,0.0002
383,5.75075,0.0002
384,5.76577,0.0002
385,5.78078,0.0002
386,5.7958,0.0002
387,5.81081,0.0002
388,5.82583,0.0002
389,5.84084,0.0002
390,5.85586,0.0002
391,5.87087,0.0002
392,5.88589,0.0002
393,5.9009,0.0002
394,5.91592,0.0002
395,5.93093,0.0002
396,5.94595,0.0002
397,5.96096,0.0002
398,5.97598,0.0002
399,5.99099,0.0002
400,6.00601,0.0002
401,6.02102,0.0002
402,6.03604,0.0002
403,6.05105,0.0002
404,6.06607,0.0002
405,6.08108,0.0002
406,6.0961,0.0002
407,6.11111,0.0002
408,6.12613,0.0002
409,6.14114,0.0002
410,6.15616,0.0002
411,6.17117,0.0002
412,6.18619,0.0002
413,6.2012,0.0002
414,6.21622,0.0002
415,6.23123,0.0002
416,6.24625,0.0002
417,6.26126,0.0002
418,6.27628,0.0002
419,6.29129,0.0002
420,6.30631,0.0002
421,6.32132,0.0002
422,6.33634,0.0002
423,6.35135,0.0002
